812354565437673472,2016-12-23 10:49:55
812352555707531264,2016-12-23 10:41:56
812350075804348416,2016-12-23 10:32:05
812349256409305088,2016-12-23 10:28:50
812338797283131392,2016-12-23 09:47:16
812337104554377216,2016-12-23 09:40:32
812204909210660864,2016-12-23 00:55:15
812204589705400320,2016-12-23 00:53:58
812204313246244864,2016-12-23 00:52:52
812204214076084224,2016-12-23 00:52:29
812203772923367424,2016-12-23 00:50:44
812188357740462080,2016-12-22 23:49:28
812187353083064320,2016-12-22 23:45:29
812185871910768640,2016-12-22 23:39:36
812175783502311425,2016-12-22 22:59:30
812170304436912128,2016-12-22 22:37:44
812169958612312064,2016-12-22 22:36:22
812168567844020224,2016-12-22 22:30:50
812167765167456257,2016-12-22 22:27:39
812167644694474752,2016-12-22 22:27:10
812167066585137152,2016-12-22 22:24:52
812166524345532416,2016-12-22 22:22:43
812165579045908480,2016-12-22 22:18:58
812164555249881088,2016-12-22 22:14:53
812163809884286976,2016-12-22 22:11:56
812163189773189120,2016-12-22 22:09:28
812162483691499520,2016-12-22 22:06:40
812162006165790721,2016-12-22 22:04:46
812155265755672577,2016-12-22 21:37:59
812154017367195648,2016-12-22 21:33:01
812153073124581376,2016-12-22 21:29:16
812149250511413249,2016-12-22 21:14:04
812146562902020096,2016-12-22 21:03:24
812143396726784000,2016-12-22 20:50:49
812139827395104768,2016-12-22 20:36:38
812139334618882049,2016-12-22 20:34:40
812126473624526849,2016-12-22 19:43:34
812125620578594816,2016-12-22 19:40:11
812122504869183488,2016-12-22 19:27:48
812119840391503872,2016-12-22 19:17:13
812119483804368898,2016-12-22 19:15:48
812112969328799746,2016-12-22 18:49:54
812112714151510016,2016-12-22 18:48:54
812110540059226113,2016-12-22 18:40:15
812110077771517956,2016-12-22 18:38:25
812109085550096384,2016-12-22 18:34:28
812099333663309824,2016-12-22 17:55:43
812095292803645440,2016-12-22 17:39:40
812092517659377665,2016-12-22 17:28:38
812091934693015552,2016-12-22 17:26:19
812090983819005953,2016-12-22 17:22:33
812088383484760064,2016-12-22 17:12:13
812086887452065792,2016-12-22 17:06:16
812085127245217792,2016-12-22 16:59:16
812084021454737409,2016-12-22 16:54:53
812079022200877057,2016-12-22 16:35:01
812077421209886722,2016-12-22 16:28:39
812071561985290242,2016-12-22 16:05:22
812069477030297600,2016-12-22 15:57:05
812056839428784128,2016-12-22 15:06:52
812040215216824321,2016-12-22 14:00:48
812039064350134272,2016-12-22 13:56:14
812037964771381248,2016-12-22 13:51:52
812036369551736832,2016-12-22 13:45:32
812034529867116544,2016-12-22 13:38:13
812022993148751872,2016-12-22 12:52:22
812022665443581952,2016-12-22 12:51:04
812021864885166080,2016-12-22 12:47:53
812008799535960064,2016-12-22 11:55:58
812008458870398976,2016-12-22 11:54:37
812002744445718528,2016-12-22 11:31:55
812000194883522560,2016-12-22 11:21:47
811997521559965696,2016-12-22 11:11:09
811993708694360064,2016-12-22 10:56:00
811991659395153920,2016-12-22 10:47:52
811990744093237248,2016-12-22 10:44:14
811989901507837952,2016-12-22 10:40:53
811989152245788672,2016-12-22 10:37:54
811823102124404737,2016-12-21 23:38:05
811821294257745920,2016-12-21 23:30:54
811812350902681600,2016-12-21 22:55:21
